Description	Code
print the first 5 elements in the list.	"def printList():
	li = list()
	for i in range(1, 21):
        li.append(i**2)
	print(li[:5])
"
middle of s1 given two strings, s1 and s2	"def appendMiddle(s1, s2):
	middleIndex = int(len(s1) / 2)
	middleThree = s1[:middleIndex:] + s2 + s1[middleIndex:]
	print(""After appending new string in middle"", middleThree)


appendMiddle(""Ault"", ""Kelly"")
"
write a python program to print bitwise OR operation	"a = 60
b = 13
a_or_b = a | b
print(a_or_b)
"
16. python function for count of address reference	"import ctypes


def ref_count(address: int):  
	return ctypes.c_long.from_address(address).value
"
Write a function to convert Miles to Kilometers	"def Miles_to_Kilometers(m):
	conv_fac = 0.621371
	kilometers = m / conv_fac
	return kilometers
"
and Value as Words Starting with that Character	"

string_input = '''GeeksforGeeks is a Computer Science portal for geeks.
	It contains well written, well thought and well explained
	computer science and programming articles, quizzes etc.'''


words = string_input.split()


dictionary = {}


for word in words:

	if (word[0].lower() not in dictionary.keys()):

        dictionary[word[0].lower()] = []
        dictionary[word[0].lower()].append(word)

	else:

        if (word not in dictionary[word[0].lower()]):
            dictionary[word[0].lower()].append(word)


print(dictionary)
"
Counting total Digits in a string	"str1 = ""abc4234AFde""
digitCount = 0
for i in range(0, len(str1)):
	char = str1[i]
	if(char.isdigit()):
        digitCount += 1
print('Number of digits: ', digitCount)
"
string return 'Not found' and print the output.	"def find_Index(str1, pos):
	if len(pos) > len(str1):
        return 'Not found'

	for i in range(len(str1)):

        for j in range(len(pos)):

            if str1[i + j] == pos[j] and j == len(pos) - 1:
                return i

            elif str1[i + j] != pos[j]:
                break

	return 'Not found'
"
prints a new list	"list1 = [1, 2, 3, 4, 5]
list2 = [5, 4, 3, 2, 1]
quot_list = [a / b for (a, b) in zip(list1, list2)]
print(quot_list)
"
Write a python program to remove punctuations from a sentence	"

punctuations = '''!()-[]{};:'""\\,<>./?@#$%^&*_~'''


my_str = ""Hello!!!, he said ---and went.""


no_punct = """"
for char in my_str:
	if char not in punctuations:
        no_punct = no_punct + char


print(no_punct)
"
write a function to check a valid email id	"

import re


def check(email):
	regex = '^[a-z0-9]+[\\._]?[a-z0-9]+[@]\\w+[.]\\w{2,3}$'
	if(re.search(regex, email)):
        print(""Valid Email"")
	else:
        print(""Invalid Email"")
"
write a Python function to convert binary to Gray codeword	"def binary_to_gray(n):
	n = int(n, 2)
	n ^= (n >> 1)
	return bin(n)[2:]
"
write a python program to remove punctuations from a string and print it	"punctuations = '''!()-[]{};:'""\\,<>./?@#$%^&*_~'''
my_str = input(""Enter a string: "")


no_punct = """"
for char in my_str:
	if char not in punctuations:
        no_punct = no_punct + char


print(no_punct)
"
Write a lambda function to that gives the number of digits in a number	"

def dig_cnt(a): return len(str(a))
"
Usage of global keyword	"x = 0


def in_func2():
	global x
	x = 1
	print('in_func2:', x)


in_func2()
print('global:', x)
"
Write a function to return reverse of a list	"def reverse_list(l1: list) -> list:
	return l1[::-1]
"
keys and the numbers in english as values	"number_dict = {
	1: 'one',
	2: 'two',
	3: 'three',
	4: 'four',
	5: 'five'
}
"
Write a function to return the nth prime number	"def nth_prime_number(n):
	prime_list = [2]
	num = 3
	while len(prime_list) < n:
        for p in prime_list:
            if num % p == 0:
                break
        else:
            prime_list.append(num)
            num += 2
	return prime_list[-1]
"
index 1 to 4	"

list1 = [11, 5, 17, 18, 23, 50]

del list1[1:5]

print(*list1)
"
divident are given	"def remainder(Divident, Divisor): return Divident % Divisor


print(remainder(5, 2))
"
numbers to positive numbers and returns the new list	"def make_all_positive(nums):
	return [num if num > 0 else -num for num in nums]
"
for a radius	"

class CircleArea:
	def __init__(self, radius):
        self.radius = radius

	def area(self):
        return math.pi * self.radius * self.radius


r = 2
obj = CircleArea(r)
print(""Area of circle:"", obj.area())
"
cleaned string.	"punctuations = '''!()-[]{};:'""\\,<>./?@#$%^&*_~'''
my_str = ""Hello!!!, he said ---and went.""
no_punct = """"
for char in my_str:
	if char not in punctuations:
        no_punct = no_punct + char
print(no_punct)
"
Find the day of week of a given date?	"from datetime import datetime
given_date = datetime(2020, 7, 26)
print(given_date.strftime('%A'))
"
Generate a list by list comprehension	"list = [x for x in range(10)]
print(f""List Generated by list comprehension:{list}"")
"
Write a function to implement Pigeonhole Sort */	"def pigeonhole_sort(a):
	my_min = min(a)
	my_max = max(a)
	size = my_max - my_min + 1
	holes = [0] * size
	for x in a:
        assert type(x) is int, ""integers only please""
        holes[x - my_min] += 1
	i = 0
	for count in range(size):
        while holes[count] > 0:
            holes[count] -= 1
            a[i] = count + my_min
            i += 1


a = [8, 3, 2, 7, 4, 6, 8]
print(""Sorted order is : "", end="" "")
pigeonhole_sort(a)
for i in range(0, len(a)):
	print(a[i], end="" "")
"
write Python program to demonstrate check if list are identical	"

test_list1 = [1, 2, 4, 3, 5]
test_list2 = [1, 2, 4, 3, 5]


print(""The first list is : "" + str(test_list1))
print(""The second list is : "" + str(test_list2))


test_list1.sort()
test_list2.sort()


if test_list1 == test_list2:
	print(""The lists are identical"")
else:
	print(""The lists are not identical"")
"
74 write a program to shuffle and print the list [3,6,7,8].	"from random import shuffle


li = [3, 6, 7, 8]
shuffle(li)
print(li)
"
Write a program to check your external ip address	"

import re
import requests


url = ""http://checkip.dyndns.org""
request = requests.get(url)
clean = request.text.split(': ', 1)[1]
your_ip = clean.split('</body></html>', 1)[0]


print(""your IP Address is: "", your_ip)
"
write a python program to find the number of files in a directory	"

import os
dir = '.'
list = os.listdir(dir)
number_files = len(list)
print(f'There are {number_files} file in the directory')
"
write a python function to return the factorial of a number	"def fact(n):
	if n == 1:
        return n
	else:
        return n * fact(n - 1)
"
printing original list	"print(""The original list is : "" + str(test_list))

res = []
vow = ""aeiou""
for sub in test_list:
	flag = False

	for ele in vow:
        if sub.startswith(ele):
            flag = True
            break
	if flag:
        res.append(sub)

print(""The extracted words : "" + str(res))
"
Write a function that returns a dictionary sorted ascending by its keys	"def ascending_dict_keysort(d: dict):
	return {key: val for key, val in sorted(d.items(), key=lambda ele: ele[0])}
"
17 write a function to initialize a linked list	"

class Cell:
	def __init__(self, val):
        self.val = val
        self.next = None


class LinkedList:
	def __init__(self):
        self.head = None
"
Write a program to merge two python dictionaries and print merged dictionary	"d1 = {'a': 100, 'b': 200}
d2 = {'x': 300, 'y': 200}
d = d1.copy()
d.update(d2)
print(d)
"
using a for loop	"n = 62
for num in range(n):
	print(num)
"
20 write program to find yesterday, today and tomorrow	"
presentday = datetime.now()
yesterday = presentday - timedelta(1)
tomorrow = presentday + timedelta(1)
print(""Yesterday = "", yesterday.strftime('%d-%m-%Y'))
print(""Today = "", presentday.strftime('%d-%m-%Y'))
print(""Tomorrow = "", tomorrow.strftime('%d-%m-%Y'))
"
write a python program to print the ascii value of a character	"str1 = 'a'
print(ord(str1))
"
given formula:	"
import math
c = 50
h = 30
value = []
items = [x for x in input().split(',')]
for d in items:
	value.append(str(int(round(math.sqrt(2 * c * float(d) / h)))))


print(','.join(value))
"
Write a program to convert kilometers per hour to mile per hour	"

kmh = 16
mph = 0.6214 * kmh
print(""Speed:"", kmh, ""KM/H = "", mph, ""MPH"")
"
each element in a list using enumerate	"
l1 = [""eat"", ""sleep"", ""repeat""]
for count, ele in enumerate(l1, 100):
	print(count, ele)
"
Write a function to return the total surface area of a cylinder	"def cal_cylinder_surf_area(height, radius):
	pi = 3.14
	return 2 * pi * radius**2 * +2 * pi * radius * height
"
write a python program to add two list of same length.	"def add_two_list_items():
	num1 = [1, 2, 3]
	num2 = [4, 5, 6]
	sum = num1 + num2
	print(f'Sum: {sum}')
"
27. Python Program to Convert Decimal to Hexadecimal	"dec = 344
print(""The decimal value of"", dec, ""is:"")
print(hex(dec), ""in hexadecimal."")
"
string library	"

import string


def return_punct():
	return string.punctuation
"
Write a lambda function to find the union of two lists	"

def union(a, b): return list(set(a) | set(b))
"
number which is set bit and which is in power of two	"def setBitNumber(n):
	if (n == 0):
        return 0
	msb = 0
	n = int(n / 2)
	while (n > 0):
        n = int(n / 2)
        msb += 1
	return (1 << msb)
"
18 write a program to convert time from 12 hour to 24 hour format	"
def convert24(str1):

	if str1[-2:] == ""AM"" and str1[:2] == ""12"":
        return ""00"" + str1[2:-2]

	elif str1[-2:] == ""AM"":
        return str1[:-2]

	elif str1[-2:] == ""PM"" and str1[:2] == ""12"":
        return str1[:-2]

	else:
        return str(int(str1[:2]) + 12) + str1[2:8]


print(convert24(""08:05:45 PM""))
"
Appears in the Text File	"def count_letter(fname, l):
	k = 0
	with open(fname, 'r') as f:
        for line in f:
            words = line.split()
            for i in words:
                for letter in i:
                    if(letter == l):
                        k = k + 1
	return k
"
Write a  python program to print the last element of a list	"list1 = ['p', 'r', 'o', 'b', 'e']


print(list1[-1])
"
write a function that acts like a ReLU function for a 1D array	"def relu_list(input_list: list) -> list:
	return [(lambda x: x if x >= 0 else 0)(x) for x in input_list]
"
Python program to compute sum of digits in number	"def sumDigits(no):
	return 0 if no == 0 else int(no % 10) + sumDigits(int(no / 10))


n = 1234511
print(sumDigits(n))
"
write a python class called Person that has a name property	"class Person:
	def __init__(self, name):
        self.name = name
"
Write a program to merge two python dictionaries	"x = {'key1': 'val1', 'key2': 'val2'}
y = {'key3': 'val3', 'key4': 'val4'}
z = {**x, **y}  
"
print the result	"n = 7
sum1 = 0
for i in range(1, n):
	if(n % i == 0):
        sum1 = sum1 + i
if (sum1 == n):
	print(""The number is a Perfect number!"")
else:
	print(""The number is not a Perfect number!"")
"
write a python program to check two lists are equal or not	"

a = [1, 4, 3, 5, 2]
b = [3, 1, 5, 2, 4]
print(a == b)
"
by a specified key	"def sort_dict_list(dict_list, sort_key):
	dict_list.sort(key=lambda item: item.get(sort_key))
"
the string to the list of values	"def addnames_in_dict(dictname, name):
	for i in dictname:
        dictname[i].append(name)
	return dictname


addnames_in_dict({""1"": [""A""]}, ""Arun"")
"
given file	"def check_word_count(word, file):
	if not os.path.isfile(file):
        raise FileNotFoundError
	if not isinstance(word, str):
        raise TypeError

	with open(file, 'r') as f:
        lines = f.readlines()
        words = [l.strip().split(' ') for l in lines]
        words = [word for sublist in words for word in sublist]
        c = Counter(words)
	return c.get(word, 0)
"
Write a python program for print all elements with digit 7.	"
test_list = [56, 72, 875, 9, 173]

K = 7

res = [ele for ele in test_list if str(K) in str(ele)]

print(""Elements with digit K : "" + str(res))
"
write a python program to convert Kilometers to Miles	"kilometers = float(input(""Enter value in kilometers: ""))


conv_fac = 0.621371


miles = kilometers * conv_fac
print('%0.2f kilometers is equal to %0.2f miles' % (kilometers, miles))
"
Write a Python Program to print the Sum of First N Natural Numbers	"

n = 7
sum1 = 0
while(n > 0):
	sum1 = sum1 + n
	n = n - 1
print(""The sum of first n natural numbers is"", sum1)
"
